TradingDate,TradingTime,OpenPrice,ClosePrice,HighPrice,LowPrice,Change,Volume,sma5,sma10,sma20,sma30,sma60,BOLLupper,BOLLmiddle,BOLLlower,MACD_macd,MACD_macdsignal,MACD_macdhist,rsi,cci,WR,KDJk,KDJd,KDJj,volumeRatio,ChangeRatio,label
20220104,30:00.0,4856.6,4853.2,4856.6,4853,-4.4,20,4857.6,4857.64,4858.26,4864.04,4881.566667,4862.125038,4856.652196,4851.179354,-5.277651245,-6.27710769,0.999456445,35.65670621,-118.4381779,-96.49122807,16.60869565,33.10908915,-16.39209134,26.39735099,-0.0001,1
20220104,31:00.0,4853.6,4850.4,4853.6,4848,-2.8,103,4855.36,4857.18,4857.48,4862.986667,4880.343333,4860.777285,4854.568131,4848.358976,-5.516575554,-6.125001263,0.608425709,33.19374795,-179.6733212,-85.18518519,16.64433357,22.15232099,5.628358732,26.65016502,-0.0009,1
20220104,32:00.0,4849.8,4846.4,4851.4,4846,-4,52,4852.88,4856.48,4856.63,4861.846667,4879.13,4860.134594,4851.84542,4843.556247,-5.959988325,-6.091998675,0.13201035,30.00515987,-185.1423058,-97.8021978,8.190227291,13.81441884,-3.058155804,26.73355263,-0.0011,1
20220104,33:00.0,4847.2,4847.4,4847.6,4845.6,1,26,4851,4855.52,4856.2,4860.646667,4878.033333,4858.50634,4850.363614,4842.220887,-6.159699319,-6.105538804,-0.054160515,31.76974974,-161.0024884,-90.32258065,11.74891274,12.1944912,10.85775581,26.73114754,-0.0006,1
20220104,34:00.0,4847.4,4851.4,4852,4846,4,31,4849.76,4854.7,4855.95,4859.653333,4877.126667,4855.752249,4850.709076,4845.665902,-5.926883723,-6.069807788,0.142924065,38.45357744,-92.34110654,-68.8172043,22.76729326,14.23547776,39.83092426,26.74509804,0.0006,0
20220104,35:00.0,4850.4,4848,4850.4,4846,-3.4,31,4848.72,4853.16,4855.55,4858.6,4876.136667,4853.563496,4849.80605,4846.048605,-5.948160579,-6.045478346,0.097317767,35.28916373,-99.78213508,-87.09677419,31.80110969,22.1057719,51.19178527,26.75895765,-0.0003,1
20220104,36:00.0,4848.2,4850,4850,4846.6,2,15,4848.64,4852,4855.41,4857.86,4875.12,4853.496386,4849.8707,4846.245014,-5.737501015,-5.98388288,0.246381865,38.49543049,-75.582169,-76.34408602,50.49242424,35.02027573,81.43672126,26.72077922,-0.0009,1
20220104,37:00.0,4851.6,4853.2,4857,4851.6,3.2,32,4850,4851.44,4855.14,4857.4,4874.14,4855.266257,4850.980467,4846.694676,-5.251799066,-5.837466117,0.585667051,43.33331107,-3.110209601,-59.13978495,55.13888889,45.81080761,73.79505145,26.73786408,0.0002,1
20220104,38:00.0,4853.4,4854,4854,4852,0.8,15,4851.32,4851.16,4854.96,4856.806667,4873.266667,4856.321767,4851.986978,4847.652188,-4.747596124,-5.619492118,0.871895994,44.50847675,-5.105438402,-54.83870968,69.38131313,58.33754209,91.46885522,26.7,-0.0002,0
20220104,39:00.0,4853.4,4850.4,4853.4,4848.8,-3.6,26,4851.12,4850.44,4854.38,4856.106667,4872.436667,4855.851435,4851.457985,4847.064536,-4.585641158,-5.412721926,0.827080768,40.44384762,-34.37369954,-72.4137931,59.7979798,61.43939394,56.51515152,26.6977492,0.0009,0
