,value,trade_price,position_value,cash,signal
2022-02-08 13:31:00,978312.3416799998,4552.6,0.0,978312.3416799998,-1
2022-02-08 13:32:00,978312.3416799998,4548.6,0.0,978312.3416799998,0
2022-02-08 13:33:00,978312.3416799998,4548.2,0.0,978312.3416799998,0
2022-02-08 13:34:00,978312.3416799998,4543.8,0.0,978312.3416799998,0
2022-02-08 13:35:00,978312.3416799998,4543.0,0.0,978312.3416799998,0
2022-02-08 13:36:00,978312.3416799998,4542.2,0.0,978312.3416799998,-1
2022-02-08 13:37:00,978312.3416799998,4543.8,0.0,978312.3416799998,0
2022-02-08 13:38:00,978312.3416799998,4545.6,0.0,978312.3416799998,0
2022-02-08 13:39:00,978312.3416799998,4544.4,0.0,978312.3416799998,0
2022-02-08 13:40:00,978312.3416799998,4540.2,0.0,978312.3416799998,0
2022-02-08 13:41:00,978312.3416799998,4542.4,0.0,978312.3416799998,0
2022-02-08 13:42:00,978312.3416799998,4545.0,0.0,978312.3416799998,0
2022-02-08 13:43:00,978312.3416799998,4549.4,0.0,978312.3416799998,0
2022-02-08 13:44:00,978312.3416799998,4551.0,0.0,978312.3416799998,-1
2022-02-08 13:45:00,978312.3416799998,4552.0,0.0,978312.3416799998,-1
2022-02-08 13:46:00,978312.3416799998,4552.2,0.0,978312.3416799998,0
2022-02-08 13:47:00,978312.3416799998,4553.2,0.0,978312.3416799998,0
2022-02-08 13:48:00,978312.3416799998,4553.8,0.0,978312.3416799998,0
2022-02-08 13:49:00,978312.3416799998,4560.0,0.0,978312.3416799998,0
2022-02-08 13:50:00,978117.0709599998,4562.4,976353.6,1763.4709599998314,1
2022-02-08 13:51:00,978288.2709599998,4563.2,976524.7999999999,1763.4709599998314,0
2022-02-08 13:52:00,978288.2709599998,4560.4,976524.7999999999,1763.4709599998314,1
2022-02-08 13:53:00,977475.0709599998,4559.4,975711.6,1763.4709599998314,0
2022-02-08 13:54:00,977817.4709599998,4561.0,976054.0,1763.4709599998314,0
2022-02-08 13:55:00,978777.6290399998,4566.4,0.0,978777.6290399998,-1
2022-02-08 13:56:00,978777.6290399998,4563.4,0.0,978777.6290399998,-1
2022-02-08 13:57:00,978777.6290399998,4560.8,0.0,978777.6290399998,0
2022-02-08 13:58:00,978777.6290399998,4561.2,0.0,978777.6290399998,0
2022-02-08 13:59:00,978777.6290399998,4560.6,0.0,978777.6290399998,0
2022-02-08 14:00:00,978777.6290399998,4559.4,0.0,978777.6290399998,0
2022-02-08 14:01:00,978777.6290399998,4556.4,0.0,978777.6290399998,0
2022-02-08 14:02:00,978777.6290399998,4553.6,0.0,978777.6290399998,0
2022-02-08 14:03:00,978777.6290399998,4554.6,0.0,978777.6290399998,0
2022-02-08 14:04:00,978777.6290399998,4556.2,0.0,978777.6290399998,0
2022-02-08 14:05:00,978777.6290399998,4557.8,0.0,978777.6290399998,0
2022-02-08 14:06:00,978777.6290399998,4559.4,0.0,978777.6290399998,0
2022-02-08 14:07:00,978777.6290399998,4558.4,0.0,978777.6290399998,0
2022-02-08 14:08:00,978777.6290399998,4555.0,0.0,978777.6290399998,0
2022-02-08 14:09:00,978777.6290399998,4561.2,0.0,978777.6290399998,0
2022-02-08 14:10:00,978582.2299199998,4565.4,976995.6,1586.6299199998612,1
2022-02-08 14:11:00,978582.2299199998,4566.4,976995.6,1586.6299199998612,1
2022-02-08 14:12:00,979181.4299199998,4568.2,977594.7999999999,1586.6299199998612,0
2022-02-08 14:13:00,979138.6299199999,4568.0,977552.0,1586.6299199998612,0
2022-02-08 14:14:00,979566.6299199999,4570.0,977980.0,1586.6299199998612,0
2022-02-08 14:15:00,980465.4299199998,4574.2,978878.7999999999,1586.6299199998612,0
2022-02-08 14:16:00,980465.4299199998,4574.4,978878.7999999999,1586.6299199998612,1
2022-02-08 14:17:00,980465.4299199998,4574.4,978878.7999999999,1586.6299199998612,1
2022-02-08 14:18:00,980465.4299199998,4573.4,978878.7999999999,1586.6299199998612,1
2022-02-08 14:19:00,980465.4299199998,4576.8,978878.7999999999,1586.6299199998612,1
2022-02-08 14:20:00,980783.1514399999,4576.6,0.0,980783.1514399999,-1
2022-02-08 14:21:00,980587.3243199999,4575.4,979135.6,1451.7243199999211,1
2022-02-08 14:22:00,980091.9571199999,4574.0,0.0,980091.9571199999,-1
2022-02-08 14:23:00,979896.39536,4569.2,977808.7999999999,2087.5953600000357,1
2022-02-08 14:24:00,979896.39536,4567.4,977808.7999999999,2087.5953600000357,1
2022-02-08 14:25:00,979896.39536,4570.8,977808.7999999999,2087.5953600000357,1
2022-02-08 14:26:00,979896.39536,4568.8,977808.7999999999,2087.5953600000357,1
2022-02-08 14:27:00,979896.39536,4571.6,977808.7999999999,2087.5953600000357,1
2022-02-08 14:28:00,979896.39536,4576.6,977808.7999999999,2087.5953600000357,1
2022-02-08 14:29:00,979896.39536,4577.2,977808.7999999999,2087.5953600000357,1
2022-02-08 14:30:00,979896.39536,4578.4,977808.7999999999,2087.5953600000357,1
2022-02-08 14:31:00,982806.7953600001,4582.8,980719.2000000001,2087.5953600000357,0
2022-02-08 14:32:00,982806.7953600001,4582.2,980719.2000000001,2087.5953600000357,1
2022-02-08 14:33:00,982806.7953600001,4580.0,980719.2000000001,2087.5953600000357,1
2022-02-08 14:34:00,982806.7953600001,4578.8,980719.2000000001,2087.5953600000357,1
2022-02-08 14:35:00,982806.7953600001,4578.8,980719.2000000001,2087.5953600000357,1
2022-02-08 14:36:00,982806.7953600001,4578.6,980719.2000000001,2087.5953600000357,1
2022-02-08 14:37:00,982806.7953600001,4582.8,980719.2000000001,2087.5953600000357,1
2022-02-08 14:38:00,982806.7953600001,4585.8,980719.2000000001,2087.5953600000357,1
2022-02-08 14:39:00,982806.7953600001,4586.0,980719.2000000001,2087.5953600000357,1
2022-02-08 14:40:00,983338.1059999999,4586.2,0.0,983338.1059999999,-1
2022-02-08 14:41:00,983338.1059999999,4586.6,0.0,983338.1059999999,-1
2022-02-08 14:42:00,983141.8851199999,4584.6,981104.4,2037.485119999852,1
2022-02-08 14:43:00,983141.8851199999,4585.8,981104.4,2037.485119999852,1
2022-02-08 14:44:00,983141.8851199999,4587.8,981104.4,2037.485119999852,1
2022-02-08 14:45:00,983612.6851199999,4586.8,981575.2000000001,2037.485119999852,0
2022-02-08 14:46:00,984015.4502399999,4589.6,0.0,984015.4502399999,-1
2022-02-08 14:47:00,984015.4502399999,4589.8,0.0,984015.4502399999,-1
2022-02-08 14:48:00,984015.4502399999,4590.0,0.0,984015.4502399999,-1
2022-02-08 14:49:00,984015.4502399999,4590.4,0.0,984015.4502399999,-1
2022-02-08 14:50:00,984015.4502399999,4593.0,0.0,984015.4502399999,0
2022-02-08 14:51:00,984015.4502399999,4593.8,0.0,984015.4502399999,-1
2022-02-08 14:52:00,983818.9639999999,4590.8,982431.2000000001,1387.76399999985,1
2022-02-08 14:53:00,982381.5259999998,4585.0,0.0,982381.5259999998,-1
2022-02-08 14:54:00,982381.5259999998,4585.2,0.0,982381.5259999998,-1
2022-02-08 14:55:00,982381.5259999998,4588.2,0.0,982381.5259999998,-1
2022-02-08 14:56:00,982381.5259999998,4588.0,0.0,982381.5259999998,-1
2022-02-08 14:57:00,982381.5259999998,4588.4,0.0,982381.5259999998,-1
2022-02-08 14:58:00,982381.5259999998,4588.0,0.0,982381.5259999998,-1
2022-02-08 14:59:00,982381.5259999998,4587.2,0.0,982381.5259999998,-1
2022-02-08 15:00:00,982381.5259999998,4589.8,0.0,982381.5259999998,-1
2022-02-09 09:30:00,982381.5259999998,4588.8,0.0,982381.5259999998,0
2022-02-09 09:31:00,982381.5259999998,4592.0,0.0,982381.5259999998,-1
2022-02-09 09:32:00,982381.5259999998,4601.4,0.0,982381.5259999998,-1
2022-02-09 09:33:00,982381.5259999998,4600.6,0.0,982381.5259999998,-1
